emit_way,substance,unit,total_quantity
water,Phosphorus (yellow or white only),grams,69580700
water,Polymeric diphenylmethane diisocyanate,grams,0
water,Propylene,grams,2706100
water,Propylene oxide,grams,0
water,Pyrene,grams,695732.3869999998
water,Quinoline,grams,101549.586
water,Selenium (and its compounds),grams,2605679779.600998
water,Silver (and its compounds),grams,10888764
water,Sodium fluoride,grams,317223000
water,Sodium nitrite,grams,214790100
water,Styrene,grams,11015000
water,Sulphuric acid,grams,96377814323
water,Tetrachloroethylene,grams,663000
water,Thallium (and its compounds),grams,14425040.025999993
water,Toluene,grams,1325032924
water,Toluenediisocyanate (mixed isomers),grams,0
water,Total reduced sulphur (expressed as hydrogen sulphide),grams,14365039900
water,Trichloroethylene,grams,163000
water,Triethylamine,grams,21900000
water,Vanadium (and its compounds),grams,7897692
water,Vanadium (except when in an alloy) and its compounds,grams,4276420500
water,Vanadium (fume or dust),grams,3540000
water,Vinyl chloride,grams,1877300
water,Xylene (all isomers),grams,326342001
water,Xylene (mixed isomers),grams,16496000
water,Zinc (and its compounds),grams,10007008033
water,Zinc (fume or dust),grams,57934000
water,i-Butyl alcohol,grams,6440000
water,"n,n-Dimethylformamide",grams,239000
water,n-Butyl alcohol,grams,42725000
water,n-Hexane,grams,100913115
water,o-Xylene,grams,64000
water,"p,p'-Methylenebis(2-chloroaniline)",grams,0
water,p-Nonylphenol polyethylene glycol ether,grams,1670000
water,p-Phenylenediamine (and its salts),grams,1886000
water,sec-Butyl alcohol,grams,0
water,tert-Butyl alcohol,grams,9316000
