year,substance,emit_way,unit,quantity
1997,"1,1,2,2-Tetrachloroethane",Releases to Air,grams,421000
1998,"1,1,2,2-Tetrachloroethane",Releases to Air,grams,1566000
1999,"1,1,2,2-Tetrachloroethane",Releases to Air,grams,468000
2000,"1,1,2,2-Tetrachloroethane",Releases to Air,grams,189000
2001,"1,1,2,2-Tetrachloroethane",Releases to Air,grams,129000
2002,"1,1,2,2-Tetrachloroethane",Releases to Air,grams,49000
2003,"1,1,2,2-Tetrachloroethane",Releases to Air,grams,314000
2004,"1,1,2,2-Tetrachloroethane",Releases to Air,grams,22000
2005,"1,1,2,2-Tetrachloroethane",Releases to Air,grams,23000
2006,"1,1,2,2-Tetrachloroethane",Releases to Air,grams,21000
2007,"1,1,2,2-Tetrachloroethane",Releases to Air,grams,0
1995,"1,1,2-Trichloroethane",Releases to Air,grams,20000
1996,"1,1,2-Trichloroethane",Releases to Air,grams,4370000
1997,"1,1,2-Trichloroethane",Releases to Air,grams,7559000
1998,"1,1,2-Trichloroethane",Releases to Air,grams,1994000
1999,"1,1,2-Trichloroethane",Releases to Air,grams,1817000
2000,"1,1,2-Trichloroethane",Releases to Air,grams,1297000
2001,"1,1,2-Trichloroethane",Releases to Air,grams,588000
2002,"1,1,2-Trichloroethane",Releases to Air,grams,606000
2003,"1,1,2-Trichloroethane",Releases to Air,grams,864000
2004,"1,1,2-Trichloroethane",Releases to Air,grams,634000
2005,"1,1,2-Trichloroethane",Releases to Air,grams,94000
2006,"1,1,2-Trichloroethane",Releases to Air,grams,109000
2007,"1,1,2-Trichloroethane",Releases to Air,grams,0
2011,"1,1,2-Trichloroethane",Releases to Air,grams,82000
2012,"1,1,2-Trichloroethane",Releases to Air,grams,84000
2016,"1,1,2-Trichloroethane",Releases to Air,grams,3360000
2000,"1,1-Methylenebis(4-isocyanatocyclohexane)",Releases to Air,grams,2000
2001,"1,1-Methylenebis(4-isocyanatocyclohexane)",Releases to Air,grams,2000
2002,"1,1-Methylenebis(4-isocyanatocyclohexane)",Releases to Air,grams,2000
2003,"1,1-Methylenebis(4-isocyanatocyclohexane)",Releases to Air,grams,1000
2002,"1,2,4-Trichlorobenzene",Releases to Air,grams,2221000
2003,"1,2,4-Trichlorobenzene",Releases to Air,grams,84000
2004,"1,2,4-Trichlorobenzene",Releases to Air,grams,2300000
2005,"1,2,4-Trichlorobenzene",Releases to Air,grams,595000
2006,"1,2,4-Trichlorobenzene",Releases to Air,grams,876000
2007,"1,2,4-Trichlorobenzene",Releases to Air,grams,12425000
2008,"1,2,4-Trichlorobenzene",Releases to Air,grams,12474000
2009,"1,2,4-Trichlorobenzene",Releases to Air,grams,870000
2010,"1,2,4-Trichlorobenzene",Releases to Air,grams,1136900
2011,"1,2,4-Trichlorobenzene",Releases to Air,grams,1565900
2012,"1,2,4-Trichlorobenzene",Releases to Air,grams,1476100
2013,"1,2,4-Trichlorobenzene",Releases to Air,grams,728400
2014,"1,2,4-Trichlorobenzene",Releases to Air,grams,578600
2015,"1,2,4-Trichlorobenzene",Releases to Air,grams,770100
2016,"1,2,4-Trichlorobenzene",Releases to Air,grams,1168000
2017,"1,2,4-Trichlorobenzene",Releases to Air,grams,1168000
2018,"1,2,4-Trichlorobenzene",Releases to Air,grams,1168000
2019,"1,2,4-Trichlorobenzene",Releases to Air,grams,12
2022,"1,2,4-Trichlorobenzene",Releases to Air,grams,215540
1993,"1,2,4-Trimethylbenzene",Releases to Air,grams,425171000
1994,"1,2,4-Trimethylbenzene",Releases to Air,grams,392639000
1995,"1,2,4-Trimethylbenzene",Releases to Air,grams,388026000
1996,"1,2,4-Trimethylbenzene",Releases to Air,grams,362609000
1997,"1,2,4-Trimethylbenzene",Releases to Air,grams,739350000
1998,"1,2,4-Trimethylbenzene",Releases to Air,grams,669068000
1999,"1,2,4-Trimethylbenzene",Releases to Air,grams,630890000
2000,"1,2,4-Trimethylbenzene",Releases to Air,grams,581026000
2001,"1,2,4-Trimethylbenzene",Releases to Air,grams,678651000
2002,"1,2,4-Trimethylbenzene",Releases to Air,grams,980244000
2003,"1,2,4-Trimethylbenzene",Releases to Air,grams,731378000
2004,"1,2,4-Trimethylbenzene",Releases to Air,grams,854293000
2005,"1,2,4-Trimethylbenzene",Releases to Air,grams,798254000
2006,"1,2,4-Trimethylbenzene",Releases to Air,grams,695562000
2007,"1,2,4-Trimethylbenzene",Releases to Air,grams,726717000
2008,"1,2,4-Trimethylbenzene",Releases to Air,grams,1092166690
2009,"1,2,4-Trimethylbenzene",Releases to Air,grams,866181050.0000001
2010,"1,2,4-Trimethylbenzene",Releases to Air,grams,929628900
2011,"1,2,4-Trimethylbenzene",Releases to Air,grams,441962300
2012,"1,2,4-Trimethylbenzene",Releases to Air,grams,463861900
2013,"1,2,4-Trimethylbenzene",Releases to Air,grams,526665800
2014,"1,2,4-Trimethylbenzene",Releases to Air,grams,573064800
2015,"1,2,4-Trimethylbenzene",Releases to Air,grams,580597700
2016,"1,2,4-Trimethylbenzene",Releases to Air,grams,719752100
2017,"1,2,4-Trimethylbenzene",Releases to Air,grams,575296100
2018,"1,2,4-Trimethylbenzene",Releases to Air,grams,607171000
2019,"1,2,4-Trimethylbenzene",Releases to Air,grams,748359759
2020,"1,2,4-Trimethylbenzene",Releases to Air,grams,567624063
2021,"1,2,4-Trimethylbenzene",Releases to Air,grams,640292820
2022,"1,2,4-Trimethylbenzene",Releases to Air,grams,573746501
2000,"1,2-Butylene oxide",Releases to Air,grams,204000
1993,"1,2-Dichloroethane",Releases to Air,grams,5788000
1994,"1,2-Dichloroethane",Releases to Air,grams,6886000
1995,"1,2-Dichloroethane",Releases to Air,grams,5580000
1996,"1,2-Dichloroethane",Releases to Air,grams,16665000
1997,"1,2-Dichloroethane",Releases to Air,grams,18247000
1998,"1,2-Dichloroethane",Releases to Air,grams,25846000
1999,"1,2-Dichloroethane",Releases to Air,grams,26749000
2000,"1,2-Dichloroethane",Releases to Air,grams,19647000
2001,"1,2-Dichloroethane",Releases to Air,grams,14094000
2002,"1,2-Dichloroethane",Releases to Air,grams,7890000
2003,"1,2-Dichloroethane",Releases to Air,grams,9035000
2004,"1,2-Dichloroethane",Releases to Air,grams,9758000
2005,"1,2-Dichloroethane",Releases to Air,grams,4698000
2006,"1,2-Dichloroethane",Releases to Air,grams,4667000
2007,"1,2-Dichloroethane",Releases to Air,grams,1219000
2008,"1,2-Dichloroethane",Releases to Air,grams,558000
2009,"1,2-Dichloroethane",Releases to Air,grams,91000
2010,"1,2-Dichloroethane",Releases to Air,grams,118100
2011,"1,2-Dichloroethane",Releases to Air,grams,73800
2012,"1,2-Dichloroethane",Releases to Air,grams,47100
2013,"1,2-Dichloroethane",Releases to Air,grams,153500
2014,"1,2-Dichloroethane",Releases to Air,grams,112000
2015,"1,2-Dichloroethane",Releases to Air,grams,37500
2016,"1,2-Dichloroethane",Releases to Air,grams,33900
2017,"1,2-Dichloroethane",Releases to Air,grams,1299500
2018,"1,2-Dichloroethane",Releases to Air,grams,43600
2019,"1,2-Dichloroethane",Releases to Air,grams,21092
2020,"1,2-Dichloroethane",Releases to Air,grams,125490
2021,"1,2-Dichloroethane",Releases to Air,grams,23540
2022,"1,2-Dichloroethane",Releases to Air,grams,20349
2007,"1,2-Dichloropropane",Releases to Air,grams,4000
2008,"1,2-Dichloropropane",Releases to Air,grams,0
2009,"1,2-Dichloropropane",Releases to Air,grams,6000
2010,"1,2-Dichloropropane",Releases to Air,grams,300
2011,"1,2-Dichloropropane",Releases to Air,grams,100
1993,"1,3-Butadiene",Releases to Air,grams,315408000
1994,"1,3-Butadiene",Releases to Air,grams,310031000
1995,"1,3-Butadiene",Releases to Air,grams,225413000
1996,"1,3-Butadiene",Releases to Air,grams,128198000
1997,"1,3-Butadiene",Releases to Air,grams,111416000
1998,"1,3-Butadiene",Releases to Air,grams,105785000
1999,"1,3-Butadiene",Releases to Air,grams,95714000
2000,"1,3-Butadiene",Releases to Air,grams,119648000
2001,"1,3-Butadiene",Releases to Air,grams,96070000
2002,"1,3-Butadiene",Releases to Air,grams,83737000
2003,"1,3-Butadiene",Releases to Air,grams,77474000
2004,"1,3-Butadiene",Releases to Air,grams,89094000
2005,"1,3-Butadiene",Releases to Air,grams,70258000
2006,"1,3-Butadiene",Releases to Air,grams,70336000
2007,"1,3-Butadiene",Releases to Air,grams,45147000
2008,"1,3-Butadiene",Releases to Air,grams,39474000
2009,"1,3-Butadiene",Releases to Air,grams,22121000
2010,"1,3-Butadiene",Releases to Air,grams,16031200
2011,"1,3-Butadiene",Releases to Air,grams,19106400
2012,"1,3-Butadiene",Releases to Air,grams,20487100
2013,"1,3-Butadiene",Releases to Air,grams,19541100
2014,"1,3-Butadiene",Releases to Air,grams,31777000
2015,"1,3-Butadiene",Releases to Air,grams,24778500
2016,"1,3-Butadiene",Releases to Air,grams,21038400
2017,"1,3-Butadiene",Releases to Air,grams,24604300
2018,"1,3-Butadiene",Releases to Air,grams,22575400
2019,"1,3-Butadiene",Releases to Air,grams,22650820
2020,"1,3-Butadiene",Releases to Air,grams,36549915
2021,"1,3-Butadiene",Releases to Air,grams,22078128
2022,"1,3-Butadiene",Releases to Air,grams,15969686
2020,"1,4-Benzenediamine, N,N'-mixed phenyl and tolyl derivatives",Releases to Air,grams,36
2021,"1,4-Benzenediamine, N,N'-mixed phenyl and tolyl derivatives",Releases to Air,grams,3345.76
2022,"1,4-Benzenediamine, N,N'-mixed phenyl and tolyl derivatives",Releases to Air,grams,3316
1993,"1,4-Dioxane",Releases to Air,grams,18585000
1994,"1,4-Dioxane",Releases to Air,grams,4421000
1995,"1,4-Dioxane",Releases to Air,grams,2807000
1996,"1,4-Dioxane",Releases to Air,grams,1295000
1997,"1,4-Dioxane",Releases to Air,grams,1589000
1998,"1,4-Dioxane",Releases to Air,grams,1936000
1999,"1,4-Dioxane",Releases to Air,grams,650000
2000,"1,4-Dioxane",Releases to Air,grams,704000
2001,"1,4-Dioxane",Releases to Air,grams,589000
2002,"1,4-Dioxane",Releases to Air,grams,791000
2003,"1,4-Dioxane",Releases to Air,grams,322000
2004,"1,4-Dioxane",Releases to Air,grams,350000
2005,"1,4-Dioxane",Releases to Air,grams,278000
2006,"1,4-Dioxane",Releases to Air,grams,14196000
2007,"1,4-Dioxane",Releases to Air,grams,22628000
2008,"1,4-Dioxane",Releases to Air,grams,5720000
2009,"1,4-Dioxane",Releases to Air,grams,3055000
2010,"1,4-Dioxane",Releases to Air,grams,4736000
2011,"1,4-Dioxane",Releases to Air,grams,13205700
2012,"1,4-Dioxane",Releases to Air,grams,887500
2013,"1,4-Dioxane",Releases to Air,grams,933800
2014,"1,4-Dioxane",Releases to Air,grams,0
2015,"1,4-Dioxane",Releases to Air,grams,1051200
2016,"1,4-Dioxane",Releases to Air,grams,1796300
2017,"1,4-Dioxane",Releases to Air,grams,1051200
2007,1-Nitropyrene,Releases to Air,grams,250
2008,1-Nitropyrene,Releases to Air,grams,289
2009,1-Nitropyrene,Releases to Air,grams,20
2010,1-Nitropyrene,Releases to Air,grams,0
2011,1-Nitropyrene,Releases to Air,grams,8
2012,1-Nitropyrene,Releases to Air,grams,695
2013,1-Nitropyrene,Releases to Air,grams,108.4
2014,1-Nitropyrene,Releases to Air,grams,208.5
2015,1-Nitropyrene,Releases to Air,grams,57.099999999999994
2016,1-Nitropyrene,Releases to Air,grams,297.6
2017,1-Nitropyrene,Releases to Air,grams,175.7
2018,1-Nitropyrene,Releases to Air,grams,363.1
2019,1-Nitropyrene,Releases to Air,grams,655.7
2020,1-Nitropyrene,Releases to Air,grams,186.5
2021,1-Nitropyrene,Releases to Air,grams,12633.4
2022,1-Nitropyrene,Releases to Air,grams,12171.2
2004,"2,4-Dinitrotoluene",Releases to Air,grams,8880000
2005,"2,4-Dinitrotoluene",Releases to Air,grams,14200000
2002,"2,6-Di-t-butyl-4-methylphenol",Releases to Air,grams,3000
2003,"2,6-Di-t-butyl-4-methylphenol",Releases to Air,grams,2620000
2004,"2,6-Di-t-butyl-4-methylphenol",Releases to Air,grams,2605000
2005,"2,6-Di-t-butyl-4-methylphenol",Releases to Air,grams,2254000
2006,"2,6-Di-t-butyl-4-methylphenol",Releases to Air,grams,2271000
2007,"2,6-Di-t-butyl-4-methylphenol",Releases to Air,grams,2071000.0000000002
2008,"2,6-Di-t-butyl-4-methylphenol",Releases to Air,grams,30000
2018,"2,6-Di-t-butyl-4-methylphenol",Releases to Air,grams,0
2016,2-(2-Methoxyethoxy)ethanol,Releases to Air,grams,54400
2017,2-(2-Methoxyethoxy)ethanol,Releases to Air,grams,44700
2018,2-(2-Methoxyethoxy)ethanol,Releases to Air,grams,40100
2019,2-(2-Methoxyethoxy)ethanol,Releases to Air,grams,37760
2021,2-(2-Methoxyethoxy)ethanol,Releases to Air,grams,2837
1999,2-Butoxyethanol,Releases to Air,grams,1566021000
2000,2-Butoxyethanol,Releases to Air,grams,1333500000
2001,2-Butoxyethanol,Releases to Air,grams,1222929000
2002,2-Butoxyethanol,Releases to Air,grams,1077815000
2003,2-Butoxyethanol,Releases to Air,grams,1094041000
2004,2-Butoxyethanol,Releases to Air,grams,1160506000
2005,2-Butoxyethanol,Releases to Air,grams,784167000
2006,2-Butoxyethanol,Releases to Air,grams,818814000
2007,2-Butoxyethanol,Releases to Air,grams,665680000
2008,2-Butoxyethanol,Releases to Air,grams,497766000
2009,2-Butoxyethanol,Releases to Air,grams,314889000
2010,2-Butoxyethanol,Releases to Air,grams,437406900
2011,2-Butoxyethanol,Releases to Air,grams,488453700
2012,2-Butoxyethanol,Releases to Air,grams,505258600
2013,2-Butoxyethanol,Releases to Air,grams,395942200
2014,2-Butoxyethanol,Releases to Air,grams,382935900
2015,2-Butoxyethanol,Releases to Air,grams,388292500
2016,2-Butoxyethanol,Releases to Air,grams,430866300
2017,2-Butoxyethanol,Releases to Air,grams,370258900
2018,2-Butoxyethanol,Releases to Air,grams,388811800
2019,2-Butoxyethanol,Releases to Air,grams,450874975
2020,2-Butoxyethanol,Releases to Air,grams,347163830
2021,2-Butoxyethanol,Releases to Air,grams,382922396
2022,2-Butoxyethanol,Releases to Air,grams,439053712
1993,2-Ethoxyethanol,Releases to Air,grams,13678000
1994,2-Ethoxyethanol,Releases to Air,grams,1905000
1995,2-Ethoxyethanol,Releases to Air,grams,8100000
1996,2-Ethoxyethanol,Releases to Air,grams,100000
1997,2-Ethoxyethanol,Releases to Air,grams,9310000
1998,2-Ethoxyethanol,Releases to Air,grams,16722999.999999998
1999,2-Ethoxyethanol,Releases to Air,grams,23984000
2000,2-Ethoxyethanol,Releases to Air,grams,20100000
2001,2-Ethoxyethanol,Releases to Air,grams,10354000
2002,2-Ethoxyethanol,Releases to Air,grams,1490000
2003,2-Ethoxyethanol,Releases to Air,grams,0
2009,2-Ethoxyethanol,Releases to Air,grams,1000
2010,2-Ethoxyethanol,Releases to Air,grams,57100
2013,2-Ethoxyethanol,Releases to Air,grams,1000
2017,2-Ethoxyethanol,Releases to Air,grams,4430000
1993,2-Ethoxyethyl acetate,Releases to Air,grams,147690000
1994,2-Ethoxyethyl acetate,Releases to Air,grams,3000
1995,2-Ethoxyethyl acetate,Releases to Air,grams,4143000
1996,2-Ethoxyethyl acetate,Releases to Air,grams,3000
1997,2-Ethoxyethyl acetate,Releases to Air,grams,32850000
1998,2-Ethoxyethyl acetate,Releases to Air,grams,4243000
1999,2-Ethoxyethyl acetate,Releases to Air,grams,3939000
2000,2-Ethoxyethyl acetate,Releases to Air,grams,101000
2001,2-Ethoxyethyl acetate,Releases to Air,grams,124000
2002,2-Ethoxyethyl acetate,Releases to Air,grams,130000
2003,2-Ethoxyethyl acetate,Releases to Air,grams,1452000
2004,2-Ethoxyethyl acetate,Releases to Air,grams,1791000
2005,2-Ethoxyethyl acetate,Releases to Air,grams,1563000
2006,2-Ethoxyethyl acetate,Releases to Air,grams,1394000
2007,2-Ethoxyethyl acetate,Releases to Air,grams,1440000
2008,2-Ethoxyethyl acetate,Releases to Air,grams,1265000
2009,2-Ethoxyethyl acetate,Releases to Air,grams,1145000
2010,2-Ethoxyethyl acetate,Releases to Air,grams,462000
2002,2-Mercaptobenzothiazole,Releases to Air,grams,0
2006,2-Mercaptobenzothiazole,Releases to Air,grams,3000
2007,2-Mercaptobenzothiazole,Releases to Air,grams,1000
2010,2-Mercaptobenzothiazole,Releases to Air,grams,823400
2011,2-Mercaptobenzothiazole,Releases to Air,grams,3296500
2012,2-Mercaptobenzothiazole,Releases to Air,grams,6694400
2013,2-Mercaptobenzothiazole,Releases to Air,grams,4683800
2018,2-Mercaptobenzothiazole,Releases to Air,grams,0
1993,2-Methoxyethanol,Releases to Air,grams,35800000
1994,2-Methoxyethanol,Releases to Air,grams,17000000
1995,2-Methoxyethanol,Releases to Air,grams,6300000
1997,2-Methoxyethanol,Releases to Air,grams,10371000
1998,2-Methoxyethanol,Releases to Air,grams,16924000
1999,2-Methoxyethanol,Releases to Air,grams,8151000
2000,2-Methoxyethanol,Releases to Air,grams,11557000
2001,2-Methoxyethanol,Releases to Air,grams,9443000
2002,2-Methoxyethanol,Releases to Air,grams,9378000
2003,2-Methoxyethanol,Releases to Air,grams,100000
2004,2-Methoxyethanol,Releases to Air,grams,3000
2005,2-Methoxyethanol,Releases to Air,grams,2000
2006,2-Methoxyethanol,Releases to Air,grams,2000
2007,2-Methoxyethanol,Releases to Air,grams,2000
2008,2-Methoxyethanol,Releases to Air,grams,3000
2012,2-Methoxyethanol,Releases to Air,grams,600
2013,2-Methoxyethanol,Releases to Air,grams,2000
2020,"2-Propanone, reaction products with diphenylamine",Releases to Air,grams,181793
2021,"2-Propanone, reaction products with diphenylamine",Releases to Air,grams,187176
2022,"2-Propanone, reaction products with diphenylamine",Releases to Air,grams,238063.902
2007,3-Methylcholanthrene,Releases to Air,grams,2655
2008,3-Methylcholanthrene,Releases to Air,grams,1393
2009,3-Methylcholanthrene,Releases to Air,grams,325
2010,3-Methylcholanthrene,Releases to Air,grams,397
2011,3-Methylcholanthrene,Releases to Air,grams,592.3
2012,3-Methylcholanthrene,Releases to Air,grams,789.1
2013,3-Methylcholanthrene,Releases to Air,grams,1193.1
2014,3-Methylcholanthrene,Releases to Air,grams,0.1
2015,3-Methylcholanthrene,Releases to Air,grams,920.1
2016,3-Methylcholanthrene,Releases to Air,grams,911.1
2017,3-Methylcholanthrene,Releases to Air,grams,922.2
2018,3-Methylcholanthrene,Releases to Air,grams,284.7
2019,3-Methylcholanthrene,Releases to Air,grams,46.135
2020,3-Methylcholanthrene,Releases to Air,grams,8.841
2021,3-Methylcholanthrene,Releases to Air,grams,6.27
2022,3-Methylcholanthrene,Releases to Air,grams,3.903
2007,5-Methylchrysene,Releases to Air,grams,1197
2008,5-Methylchrysene,Releases to Air,grams,1195
2009,5-Methylchrysene,Releases to Air,grams,930
2010,5-Methylchrysene,Releases to Air,grams,800
2011,5-Methylchrysene,Releases to Air,grams,222
2012,5-Methylchrysene,Releases to Air,grams,0
2013,5-Methylchrysene,Releases to Air,grams,65
2014,5-Methylchrysene,Releases to Air,grams,269.1
2015,5-Methylchrysene,Releases to Air,grams,493.8
2016,5-Methylchrysene,Releases to Air,grams,35.1
2017,5-Methylchrysene,Releases to Air,grams,0
2018,5-Methylchrysene,Releases to Air,grams,21.6
2019,5-Methylchrysene,Releases to Air,grams,139.6
2020,5-Methylchrysene,Releases to Air,grams,57.2
2021,5-Methylchrysene,Releases to Air,grams,4.1000000000000005
2022,5-Methylchrysene,Releases to Air,grams,0
2007,"7,12-Dimethylbenz[a]anthracene",Releases to Air,grams,519
2008,"7,12-Dimethylbenz[a]anthracene",Releases to Air,grams,463
2009,"7,12-Dimethylbenz[a]anthracene",Releases to Air,grams,205
2010,"7,12-Dimethylbenz[a]anthracene",Releases to Air,grams,4507.4000000000005
2011,"7,12-Dimethylbenz[a]anthracene",Releases to Air,grams,4120.3
2012,"7,12-Dimethylbenz[a]anthracene",Releases to Air,grams,4149.3
2013,"7,12-Dimethylbenz[a]anthracene",Releases to Air,grams,2661.4
2014,"7,12-Dimethylbenz[a]anthracene",Releases to Air,grams,1720
2015,"7,12-Dimethylbenz[a]anthracene",Releases to Air,grams,1486.8999999999999
2016,"7,12-Dimethylbenz[a]anthracene",Releases to Air,grams,1413.7
2017,"7,12-Dimethylbenz[a]anthracene",Releases to Air,grams,1313.4999999999998
2018,"7,12-Dimethylbenz[a]anthracene",Releases to Air,grams,1193.1999999999998
2019,"7,12-Dimethylbenz[a]anthracene",Releases to Air,grams,1124.802
2020,"7,12-Dimethylbenz[a]anthracene",Releases to Air,grams,1339.6550000000002
2021,"7,12-Dimethylbenz[a]anthracene",Releases to Air,grams,1378.2350000000001
2022,"7,12-Dimethylbenz[a]anthracene",Releases to Air,grams,1393.9759999999999
2000,"7H-Dibenzo[c,g]carbazole",Releases to Air,grams,40923
2001,"7H-Dibenzo[c,g]carbazole",Releases to Air,grams,3666
2002,"7H-Dibenzo[c,g]carbazole",Releases to Air,grams,7760
2003,"7H-Dibenzo[c,g]carbazole",Releases to Air,grams,49032
2004,"7H-Dibenzo[c,g]carbazole",Releases to Air,grams,48190
2005,"7H-Dibenzo[c,g]carbazole",Releases to Air,grams,48847
2006,"7H-Dibenzo[c,g]carbazole",Releases to Air,grams,46889
2007,"7H-Dibenzo[c,g]carbazole",Releases to Air,grams,10782
2008,"7H-Dibenzo[c,g]carbazole",Releases to Air,grams,831083
2009,"7H-Dibenzo[c,g]carbazole",Releases to Air,grams,823300
2010,"7H-Dibenzo[c,g]carbazole",Releases to Air,grams,1265614.6
2011,"7H-Dibenzo[c,g]carbazole",Releases to Air,grams,173.5
2012,"7H-Dibenzo[c,g]carbazole",Releases to Air,grams,165.5
2013,"7H-Dibenzo[c,g]carbazole",Releases to Air,grams,167
2014,"7H-Dibenzo[c,g]carbazole",Releases to Air,grams,89.7
2015,"7H-Dibenzo[c,g]carbazole",Releases to Air,grams,79.8
2016,"7H-Dibenzo[c,g]carbazole",Releases to Air,grams,79
2017,"7H-Dibenzo[c,g]carbazole",Releases to Air,grams,72.7
2018,"7H-Dibenzo[c,g]carbazole",Releases to Air,grams,77.3
2019,"7H-Dibenzo[c,g]carbazole",Releases to Air,grams,45.2
2020,"7H-Dibenzo[c,g]carbazole",Releases to Air,grams,53.49999999999999
2021,"7H-Dibenzo[c,g]carbazole",Releases to Air,grams,75.18299999999999
2022,"7H-Dibenzo[c,g]carbazole",Releases to Air,grams,55.143
2006,Acenaphthene,Releases to Air,grams,13297618
2007,Acenaphthene,Releases to Air,grams,16613687
2008,Acenaphthene,Releases to Air,grams,9125139.24
2009,Acenaphthene,Releases to Air,grams,12631388.94
2010,Acenaphthene,Releases to Air,grams,10487727.6
2011,Acenaphthene,Releases to Air,grams,9665976.5
2012,Acenaphthene,Releases to Air,grams,7317693.2
2013,Acenaphthene,Releases to Air,grams,7585701
2014,Acenaphthene,Releases to Air,grams,9316776.8
2015,Acenaphthene,Releases to Air,grams,4820620.1
2016,Acenaphthene,Releases to Air,grams,3535495.7
2017,Acenaphthene,Releases to Air,grams,5123969
2018,Acenaphthene,Releases to Air,grams,4289878.4
2019,Acenaphthene,Releases to Air,grams,4192579.399
2020,Acenaphthene,Releases to Air,grams,4279421.771
2021,Acenaphthene,Releases to Air,grams,5099419.659
2022,Acenaphthene,Releases to Air,grams,4386212.945
2006,Acenaphthylene,Releases to Air,grams,25816593
2007,Acenaphthylene,Releases to Air,grams,28831067
2008,Acenaphthylene,Releases to Air,grams,27581488
2009,Acenaphthylene,Releases to Air,grams,22771315
2010,Acenaphthylene,Releases to Air,grams,22771773.6
2011,Acenaphthylene,Releases to Air,grams,22546624.5
2012,Acenaphthylene,Releases to Air,grams,20028070.2
2013,Acenaphthylene,Releases to Air,grams,19870273.9
2014,Acenaphthylene,Releases to Air,grams,20618466.8
2015,Acenaphthylene,Releases to Air,grams,20516461.4
2016,Acenaphthylene,Releases to Air,grams,20283075.599999998
2017,Acenaphthylene,Releases to Air,grams,22260295.3
2018,Acenaphthylene,Releases to Air,grams,22678962.6
2019,Acenaphthylene,Releases to Air,grams,21672542.077
2020,Acenaphthylene,Releases to Air,grams,15190780.367
2021,Acenaphthylene,Releases to Air,grams,25470845.456
2022,Acenaphthylene,Releases to Air,grams,22290160.444
1993,Acetaldehyde,Releases to Air,grams,163770000
1994,Acetaldehyde,Releases to Air,grams,126803000
1995,Acetaldehyde,Releases to Air,grams,315341000
1996,Acetaldehyde,Releases to Air,grams,367609000
1997,Acetaldehyde,Releases to Air,grams,392501000
1998,Acetaldehyde,Releases to Air,grams,300758000
1999,Acetaldehyde,Releases to Air,grams,847596000
2000,Acetaldehyde,Releases to Air,grams,928107000
2001,Acetaldehyde,Releases to Air,grams,1068703000
2002,Acetaldehyde,Releases to Air,grams,922100000
2003,Acetaldehyde,Releases to Air,grams,1085962000
2004,Acetaldehyde,Releases to Air,grams,1398080000
2005,Acetaldehyde,Releases to Air,grams,1344054000
2006,Acetaldehyde,Releases to Air,grams,1261480000
2007,Acetaldehyde,Releases to Air,grams,1198816000
2008,Acetaldehyde,Releases to Air,grams,1035431000
2009,Acetaldehyde,Releases to Air,grams,895612300
2010,Acetaldehyde,Releases to Air,grams,940014200
2011,Acetaldehyde,Releases to Air,grams,699356100
2012,Acetaldehyde,Releases to Air,grams,702369300
2013,Acetaldehyde,Releases to Air,grams,713453400
2014,Acetaldehyde,Releases to Air,grams,693324600
2015,Acetaldehyde,Releases to Air,grams,655773600
2016,Acetaldehyde,Releases to Air,grams,696554600
2017,Acetaldehyde,Releases to Air,grams,802870800
2018,Acetaldehyde,Releases to Air,grams,793513700
2019,Acetaldehyde,Releases to Air,grams,769032300
2020,Acetaldehyde,Releases to Air,grams,700324101
2021,Acetaldehyde,Releases to Air,grams,714904974
2022,Acetaldehyde,Releases to Air,grams,779990434
1993,Acetone,Releases to Air,grams,3123732000
1994,Acetone,Releases to Air,grams,3692524000
1995,Acetone,Releases to Air,grams,4189292000
1996,Acetone,Releases to Air,grams,4201086000
1997,Acetone,Releases to Air,grams,4028770000
1998,Acetone,Releases to Air,grams,3393689000
1993,Acetonitrile,Releases to Air,grams,85920000
1994,Acetonitrile,Releases to Air,grams,79000000
1995,Acetonitrile,Releases to Air,grams,79040000
1996,Acetonitrile,Releases to Air,grams,23700000
1997,Acetonitrile,Releases to Air,grams,11182000
1998,Acetonitrile,Releases to Air,grams,8167000
1999,Acetonitrile,Releases to Air,grams,8300000
2000,Acetonitrile,Releases to Air,grams,6389000
2001,Acetonitrile,Releases to Air,grams,6038000
2002,Acetonitrile,Releases to Air,grams,7383000
2003,Acetonitrile,Releases to Air,grams,6490000
2004,Acetonitrile,Releases to Air,grams,95904000
2005,Acetonitrile,Releases to Air,grams,72327000
2006,Acetonitrile,Releases to Air,grams,20189000
2007,Acetonitrile,Releases to Air,grams,45415000
2008,Acetonitrile,Releases to Air,grams,61597000
2009,Acetonitrile,Releases to Air,grams,32764000
2010,Acetonitrile,Releases to Air,grams,36948600
2011,Acetonitrile,Releases to Air,grams,51731400
2012,Acetonitrile,Releases to Air,grams,36321600
2013,Acetonitrile,Releases to Air,grams,37383000
2014,Acetonitrile,Releases to Air,grams,23107000
2015,Acetonitrile,Releases to Air,grams,12265000
2016,Acetonitrile,Releases to Air,grams,16793000
2017,Acetonitrile,Releases to Air,grams,21329000
2018,Acetonitrile,Releases to Air,grams,12310000
2019,Acetonitrile,Releases to Air,grams,17094000
2020,Acetonitrile,Releases to Air,grams,7968400
2021,Acetonitrile,Releases to Air,grams,10015100
2022,Acetonitrile,Releases to Air,grams,10715000
1999,Acetophenone,Releases to Air,grams,2271000
2000,Acetophenone,Releases to Air,grams,2485000
