NPRI_id,province,latitude,longitude
19460,AB,54.2782,-110.4668
19461,SK,49.5863,-102.2578
19462,SK,49.5572,-102.1108
19463,SK,49.5937,-103.3584
19464,SK,49.3455,-101.8304
19465,SK,49.6629,-103.0481
19466,SK,49.6833,-103.0333
19467,SK,49.5355,-103.8102
19468,SK,49.475,-101.7967
19469,SK,54.1388,-109.974
19470,SK,49.5644,-102.1615
19471,SK,49.2621,-102.0675
19472,SK,49.2111,-102.0109
19473,AB,52.1158,-110.5794
19474,BC,57.3479,-122.0531
19475,AB,53.4779,-116.124
19476,AB,54.5726,-118.8342
19477,AB,56.4592,-119.9746
19478,AB,54.8816,-118.4675
19479,AB,54.3105,-118.3656
19480,AB,50.7086,-111.15
19481,AB,55.4342,-114.55
19482,AB,58.4944,-118.6736
19483,AB,57.2118,-118.0108
19484,AB,53.7684,-114.1847
19485,AB,53.6998,-112.5791
19486,AB,53.6816,-112.9565
19487,AB,53.8416,-113.3268
19488,AB,53.1415,-110.5751
19489,AB,54.8974,-119.115
19490,AB,54.8981,-119.1261
19491,AB,54.9879,-119.2131
19492,AB,54.7106,-117.1428
19493,AB,56.5335,-118.4967
19494,AB,56.097,-119.294
19495,AB,56.0634,-119.4653
19496,BC,57.2771,-121.2656
19497,AB,54.0157,-116.9649
19498,AB,56.2671,-119.164
19499,AB,53.1415,-110.5811
19500,AB,53.1379,-110.6178
19501,AB,53.1451,-110.6238
19502,AB,53.1343,-110.5871
19503,AB,53.1444,-110.6361
19504,AB,53.1343,-110.6359
19505,AB,53.1475,-110.6551
19506,AB,53.1523,-110.6482
19507,AB,53.156,-110.6603
19508,AB,53.1379,-110.6542
19509,AB,53.1451,-110.6422
19510,AB,53.1596,-110.6482
19511,AB,53.1559,-110.5981
19512,AB,53.156,-110.6384
19513,AB,53.156,-110.6158
19514,AB,53.1569,-110.6055
19515,AB,53.1497,-110.6241
19516,AB,53.1596,-110.6299
19517,AB,53.1343,-110.6422
19518,AB,56.2743,-119.1771
19519,AB,55.1069,-119.3322
19520,AB,53.9435,-116.7837
19521,AB,53.8048,-116.8597
19522,AB,55.1033,-119.3259
19523,AB,53.7757,-116.8223
19524,AB,53.9289,-116.833
19525,SK,53.227,-104.778
19526,NU,82.498758,-62.34664
19527,AB,55.835,-117.3487
19528,AB,49.8403,-114.4668
19529,AB,55.1221,-113.9539
19530,AB,55.1075,-119.3614
19531,AB,54.4382,-119.6761
19532,AB,53.834,-117.9124
19533,SK,49.3572,-103.5675
19534,AB,54.7729,-118.9815
19535,SK,49.3462,-103.5844
19536,AB,52.4012,-114.0179
19537,AB,54.9385,-119.4465
19538,AB,54.9576,-119.1991
19539,AB,51.4845,-110.4144
19540,BC,50.6706,-119.2311
19541,AB,52.7871,-110.8715
19542,AB,52.0734,-115.873
19543,AB,55.7332,-118.9989
19544,AB,53.9144,-117.5737
19545,AB,53.9871,-117.3515
19546,AB,53.5398,-113.397
19547,AB,50.2186,-111.8297
19548,AB,50.5713,-112.1461
19549,AB,50.0003,-113.7104
19550,AB,51.4117,-113.2858
19551,AB,52.7793,-115.3771
19552,AB,55.84811,-111.3593
19553,AB,50.4429,-111.8573
19554,AB,50.4805,-111.4779
19555,AB,50.5096,-112.0029
19556,AB,49.5351,-111.112
19557,AB,51.2808,-112.9823
19558,AB,52.5758,-115.4279
19559,AB,51.2808,-112.8189
