province,group,total_quantity
AB,Off-site Disposal,6597085.112802997
BC,Off-site Disposal,12814080.636764057
MB,Off-site Disposal,2155506.360736997
NB,Off-site Disposal,19114937.45189996
NL,Off-site Disposal,142516.51673600002
NS,Off-site Disposal,81761.75119999998
NT,Off-site Disposal,460.15935900000005
NU,Off-site Disposal,4.302
ON,Off-site Disposal,26391902.052486163
PE,Off-site Disposal,95309.07250000001
QC,Off-site Disposal,10531495.095905013
SK,Off-site Disposal,4339676.464102004
